	Mult	Null_fract	Obs_fract
0	1.1188864468864463	1.0	1.0
1	1.1299346972596531	0.8874740818592798	0.9444444444444444
2	1.1319669539094017	0.7783075946854584	0.9166666666666666
3	1.2109160680589257	0.6710827716207722	0.8055555555555556
4	1.2827997480226785	0.5765393396138554	0.7777777777777778
5	1.3593382859041607	0.49093193579729427	0.7222222222222222
6	1.407994689873885	0.41078158259101877	0.6666666666666666
7	1.4958374958374954	0.3374566137002981	0.6388888888888888
8	1.539751991128138	0.273570427263434	0.6111111111111112
9	1.6273396932737587	0.21303665079338394	0.5833333333333334
10	1.8586153602764919	0.1602498176492985	0.5555555555555556
11	1.9256714728412836	0.12249899155916247	0.5
12	2.2762156469208903	0.087957042063362	0.4166666666666667
13	2.3353381312564983	0.06269823649225932	0.3333333333333333
14	2.6361199010413676	0.03923664812092636	0.3055555555555556
15	2.653485644789991	0.02302294693656571	0.2777777777777778
16	3.7199771045356593	0.007069702357547145	0.16666666666666666
17	6.022714127977289	0.0009049126703467372	0.05555555555555555
