	Null_num	Obs_num	P_value
0	2.9715360987728516	9.9999999999	-1.737177927613007
1	1.5845850988159946	9.9999999999	1.8569443045500051
2	1.3231550795543299	9.0	1.9692409507737163
3	1.2261287027378225	8.0	2.0170962918233935
4	0.70708454037064	7.0	2.277622583003345
5	0.06423268031569343	6.0	3.2649221200866245
6	0.0626623213594894	5.0	3.277648173667463
7	0.057270316045427976	4.0	3.3272034853261343
8	0.039666846004403664	3.0	3.47514249986896
9	0.002067752625870812	2.0	4.738102643647093
10	0.0005381446171620199	1.0	5.310210345799172
11	0.00020176207093535494	1e-10	5.744504827702424
