	P_value	Obs_num	Null_num
0	-1.737177927613007	31.9999999999	21.522443174248384
1	0.7201107632328821	31.9999999999	20.16222142702069
2	0.7783519272729745	31.0	20.033631274599436
3	0.8584058912017213	30.0	19.799692413766024
4	0.9222412421025536	29.0	19.204380029223305
5	0.9927010124505848	28.0	18.053420582396377
6	1.0048987853307048	27.0	17.63811441628083
7	1.0190187797456174	26.0	17.316281054170872
8	1.052738978249727	25.0	16.850473058711778
9	1.2472369179192455	24.0	13.005601647324857
10	1.350793204808941	23.0	10.98433828440614
11	1.454072619451136	22.0	9.341606292474491
12	1.5138151166342804	21.0	8.510723738001952
13	1.6943715781175088	20.0	5.941971355457355
14	1.7718125741246908	19.0	5.21096002979484
15	1.851409904526334	18.0	4.309318589241818
16	1.9614119963643062	17.0	3.1732443913049986
17	2.003756582016023	16.0	2.8560435230505075
18	2.035409521672357	15.0	2.6151477751951226
19	2.19943859295504	14.0	1.7045646465824584
20	2.205729176530857	13.0	1.650666353669593
21	2.3203178979969574	12.0	1.2498505577172343
22	2.4321565161797083	11.0	1.0032947250671223
23	2.5984854919498996	10.0	0.6735262173983834
24	2.7205355118401444	9.0	0.4992527150066168
25	2.9684504211592952	8.0	0.28895496419266636
26	3.3772814202043215	7.0	0.10632149622454869
27	3.508681237053791	6.0	0.07848809625167959
28	5.629795026493096	5.0	0.000561761829916895
29	5.678718464811464	4.0	0.0005043584679609644
30	5.723418195970507	3.0	0.0004587842517773307
31	7.261530126684122	2.0	1.2812962997383891e-05
32	12.494367088652751	1.0	6.69934414403465e-11
33	12.928661570556002	1e-10	2.3061788858630227e-11
