	P_value	Obs_num	Null_num
0	-1.737177927613007	29.9999999999	15.192028472115947
1	1.0396078710049863	29.9999999999	10.715542225160062
2	1.0484484769651485	29.0	10.570992473925873
3	1.0938654486353419	28.0	10.213485843382948
4	1.134680881889916	27.0	9.43713000351856
5	1.1355045736305465	26.0	9.374203733639673
6	1.242182681354741	25.0	7.95526994578068
7	1.286462790246585	24.0	7.474708289459889
8	1.3247907262532956	23.0	6.947033928288505
9	1.3398459660959827	22.0	6.781765200069203
10	1.4722659876608017	21.0	5.2278851198951655
11	1.4872798998539285	20.0	5.020857847197171
12	1.5307698544574777	19.0	4.716547102122639
13	1.6491921218218102	18.0	3.803303544831646
14	1.8019563351538033	17.0	2.586222076011505
15	1.9200849537718394	16.0	1.979377331651432
16	1.9394937304964337	15.0	1.9044165865359823
17	2.029538056509108	14.0	1.4537900292944606
18	2.1505994392953194	13.0	1.0755560917811962
19	2.2318449390041937	12.0	0.9264938572208337
20	2.2410708685991176	11.0	0.9050202007710929
21	2.37815816935449	10.0	0.6307393562844744
22	2.379271110120298	9.0	0.6268791169877994
23	2.499727038247234	8.0	0.46690974346399317
24	2.9927887911262627	7.0	0.1497921102680987
25	3.204029382713634	6.0	0.09377916859605578
26	3.230518520529014	5.0	0.0863126896182413
27	3.447849303642733	4.0	0.04880921671561438
28	3.6365156646979506	3.0	0.031580225844822236
29	3.7808543456627706	2.0	0.02324262873413733
30	5.159760430335224	1.0	0.0009080394074032464
31	5.594054912238476	1e-10	0.0003253170461822428
